Nodes,Edges,Dijkstra,Bellman-Ford
200,1000,0.00,14.51
200,200,0.00,5.03
400,16000,2.00,303.25
100,1000,0.00,4.00
200,1000,0.00,13.04
200,200,0.00,5.00
400,16000,1.00,283.67
100,1000,0.00,4.50
200,1000,0.00,11.50
200,200,0.00,5.26
400,16000,1.00,297.99
100,1000,0.00,5.05
200,1000,0.00,11.50
200,200,1.00,4.00
400,16000,1.00,306.03
100,1000,0.00,5.00
200,1000,0.00,11.49
200,200,0.00,5.00
400,16000,2.00,337.60
100,1000,0.00,5.99
200,1000,0.00,12.51
200,200,0.00,4.00
400,16000,1.00,305.79
100,1000,0.00,4.00
200,1000,0.00,11.51
200,200,0.00,5.44
400,16000,1.00,332.68
100,1000,0.00,5.03
200,1000,0.00,11.51
200,200,0.00,5.00
400,16000,1.00,305.92
100,1000,0.00,5.00
200,1000,1.50,11.51
200,200,0.00,4.00
400,16000,1.00,324.85
100,1000,0.00,5.00
200,1000,0.00,11.51
200,200,0.00,4.51
400,16000,1.50,298.35
100,1000,1.00,4.03
200,1000,0.00,10.79
200,200,0.00,5.51
400,16000,0.00,302.88
100,1000,0.00,5.00
200,1000,0.00,11.07
200,200,0.00,5.00
400,16000,2.00,325.88
100,1000,0.00,4.00
200,1000,1.00,12.59
200,200,0.00,5.00
400,16000,1.00,308.39
100,1000,1.00,4.00
200,1000,0.00,11.51
200,200,0.00,5.51
400,16000,1.00,320.24
100,1000,0.00,5.00
200,1000,0.00,11.51
200,200,0.00,4.51
400,16000,1.00,286.51
100,1000,0.00,5.24
200,1000,0.00,10.29
200,200,0.00,4.00
400,16000,1.00,283.99
100,1000,0.00,4.55
200,1000,0.00,11.21
200,200,0.00,4.00
400,16000,1.00,292.59
100,1000,0.00,4.01
200,1000,0.00,11.04
200,200,0.00,4.50
400,16000,1.00,294.40
100,1000,0.00,5.00
200,1000,0.00,11.51
200,200,0.00,5.16
400,16000,1.50,294.13
100,1000,0.00,4.00
200,1000,1.00,10.51
200,200,1.00,4.00
400,16000,1.00,287.56
100,1000,0.00,5.00
